Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
Midnight Sun Banquet Space,"Banquet Halls, Marriage Garden / Lawns",Chennai ,4.9,5 reviews,"₹50,000per function",50-150,,+3 more
Crystal24 Banquet Hall,Banquet Halls,Pune ,5.0,2 reviews,₹777per plate,500-800,4,+4 more
Nakshatra Palace,"Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,39 reviews,₹800per plate,350-1500,9,+6 more
Sky Blue Banquets & Lawn,"Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,1 review,₹699per plate,50-800,8,+4 more
Mahalakshmi Lawns,"Banquet Halls, Marriage Garden / Lawns",Pune ,4.5,2 reviews,₹550per plate,100-10000,45,+3 more
"Asodit Banquets, Hadapsar","Banquet Halls, Convention / Function Halls","Hadapsar, Pune ",4.7,14 reviews,₹699per plate,350-600,,+2 more
Nahata Lawns,"Banquet Halls, Marriage Garden / Lawns","Sinhagad Road, Pune ",4.9,103 reviews,₹400per plate,50-3000,25,+6 more
Aranyagiri Countryside Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Pune ,4.5,2 reviews,₹550per plate,80-700,30,+5 more
Mauli Agro Farm,"Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,5 reviews,₹600per plate,100-4000,50,+4 more
"Muhurta Lawns, Bavdhan","Marriage Garden / Lawns, Venues With Rooms","Bavdhan, Pune ",4.7,3 reviews,"₹5,00,000per function",800-4000,6,+4 more
The Grand Legacy Resort and Spa,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,4.8,10 reviews,"₹1,300per plate",150-600,70,+4 more
Aisshwarya Banquet Hall,"Banquet Halls, Marriage Garden / Lawns","Ambegaon, Pune ",4.9,19 reviews,"₹1,500per plate",500-2000,6,+3 more
Hueton Greens and Resort,"Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,2 reviews,"₹1,50,000per function",500-2000,14,+5 more
Radisson Blu Pune Hinjawadi,"4 Star & Above Wedding Hotels, Banquet Halls","Hinjewadi, Pune ",4.8,6 reviews,"₹1,650per plate",150-500,152,+4 more
"Kapila Resort, Wagholi","Banquet Halls, Marriage Garden / Lawns",Pune ,4.8,11 reviews,₹600per plate,80-2000,30,+5 more
Gharkul Lawns,"Banquet Halls, Marriage Garden / Lawns","Erandwane, Pune ",5.0,2 reviews,₹850per plate,600-1500,6,+4 more
Regenta Central Grand Exotica Pune,"4 Star & Above Wedding Hotels, Banquet Halls","Pimpri Chinchwad, Pune ",4.5,3 reviews,₹999per plate,48-350,72,+3 more
MDS Banquet & Lawns,"Banquet Halls, Marriage Garden / Lawns",Pune ,4.9,29 reviews,₹899per plate,200-2000,30,+5 more
Balkrishna Banquets,"Banquet Halls, Convention / Function Halls",Pune ,5.0,35 reviews,₹899per plate,250-700,4,+6 more
Hotel Rajratna Executive,"Banquet Halls, Party Restaurants / Lounge Bars","Pimpri Chinchwad, Pune ",4.9,6 reviews,₹499per plate,250-1000,2,+3 more
"Fort JadhavGADH, Pune","4 Star & Above Wedding Hotels, Banquet Halls","Saswad, Pune ",5.0,1 review,"₹2,899per plate",100-900,58,+4 more
The Manor Lucknow,"Banquet Halls, Marriage Garden / Lawns","Aliganj, Lucknow ",4.7,24 reviews,"₹1,650per plate",160-600,5,+4 more
Luxe Vitassta,"Banquet Halls, 3 Star Hotels with Banquets","Ashiyana, Lucknow ",4.9,14 reviews,₹800per plate,120-300,9,+5 more
Hotel V Square Restaurant Banquet & Lawn,"Banquet Halls, Marriage Garden / Lawns","Ashiyana, Lucknow ",5.0,4 reviews,₹700per plate,60-1800,50,+4 more
Hotel Amanda,"Banquet Halls, 3 Star Hotels with Banquets","Gomti Nagar, Lucknow ",4.8,3 reviews,₹799per plate,25-300,20,+4 more
Magnolia Garden,Marriage Garden / Lawns,"Chinhat, Lucknow ",5.0,9 reviews,₹900per plate,1800-2500,,+3 more
Hotel Rama Inn,"Banquet Halls, 3 Star Hotels with Banquets","Indira Nagar, Lucknow ",5.0,7 reviews,₹699per plate,150-200,30,+3 more
Trident Lawn,"Marriage Garden / Lawns, Venues With Rooms","Vrindavan Colony, Lucknow ",4.9,63 reviews,"₹1,000per plate",900-1500,7,+6 more
