Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
Shivalik Hotel & Banquet,"3 Star Hotels with Banquets, Venues With Rooms",Delhi NCR ,4.9,13 reviews,₹600per plate,45-150,25,+4 more
The Venue Banqueting By SK,"Banquet Halls, Convention / Function Halls",Delhi NCR ,5.0,3 reviews,Price on Request,1125-1500,,+2 more
ITC Grand Bharat,"4 Star & Above Wedding Hotels, 3 Star Hotels with Banquets",Delhi NCR ,4.5,13 reviews,"₹4,000per plate",30-400,104,+3 more
Okas Grand,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,1 review,"₹1,80,000per function",200-400,20,+4 more
Diamond Crown Banquet,"Banquet Halls, Marriage Garden / Lawns","East Delhi, Delhi NCR ",4.7,23 reviews,"₹1,600per plate",72-1200,60,+3 more
Flora Garden,Marriage Garden / Lawns,"Palam, Delhi NCR ",5.0,1 review,"₹1,000per plate",800-1000,,+3 more
Radisson Blu Hotel Greater Noida,"4 Star & Above Wedding Hotels, Banquet Halls","Greater Noida, Delhi NCR ",4.8,10 reviews,"₹2,999per plate",40-550,175,+3 more
Firebrick Boutique Residences - Amethyst House,"Banquet Halls, 3 Star Hotels with Banquets","South City 1, Delhi NCR ",5.0,2 reviews,₹799per plate,50-70,18,+4 more
Mehar Resorts,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,1 review,"₹1,500per plate",350-800,15,+3 more
Kaushambi Banquet and Conference Hall,Banquet Halls,"Kaushambi, Delhi NCR ",5.0,1 review,"₹1,800per plate",280-500,,+2 more
SR Royal Kingdom ,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,1 review,"₹1,200per plate",50-1200,5,+3 more
SMP Marriage Hall,Banquet Halls,Chennai ,5.0,1 review,₹400per plate,500-750,,+2 more
Shree Venkatesh Mahal,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,5.0,1 review,₹400per plate,800-1200,21,+3 more
Vedashreni Function Hall,"Banquet Halls, Convention / Function Halls","Velachery, Chennai ",5.0,1 review,Price on Request,100-300,,+2 more
San Event Hall,"Banquet Halls, Venues With Rooms","Kottivakkam, Chennai ",5.0,2 reviews,₹300per plate,300-400,3,+4 more
Mohan Gardens Kalyana Mandapam,"Banquet Halls, Marriage Garden / Lawns","Ambattur, Chennai ",5.0,1 review,₹500per plate,1250-2000,,+2 more
ICF Thiruvalluvar Marriage Hall,Banquet Halls,"Anna Nagar, Chennai ",4.8,4 reviews,Price on Request,400-500,,+2 more
Mango Nest Nature Resort,Marriage Garden / Lawns,Chennai ,,,"₹55,000per function",150-250,4,+4 more
Raj Palace Sundar,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,,1 review,₹600per plate,25-230,36,+3 more
Gopinath Gardens,Banquet Halls,"Injambakkam, Chennai ",4.5,2 reviews,"₹7,00,000per function",180-6000,,+3 more
GLM Meridian,"Banquet Halls, 3 Star Hotels with Banquets","Parthasarathi, Chennai ",,2 reviews,₹400per plate,40-100,40,+3 more
LITE Marriage Hall,"Banquet Halls, Destination Wedding Venues","Kilpauk, Chennai ",5.0,1 review,Price on Request,1000-1500,50,+4 more
Villa Nirvana,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Chennai ,5.0,1 review,₹500per plate,120-150,10,+3 more
Off The Record,"Party Restaurants / Lounge Bars, Small Function / Party Halls","Nungambakkam, Chennai ",,,₹80per plate,45-70,,+2 more
Mamalla Beach Resort,"Banquet Halls, Marriage Garden / Lawns",Chennai ,5.0,1 review,Price on Request,100-1000,35,+3 more
The Kanchi Residency,"Banquet Halls, 3 Star Hotels with Banquets","Anna Nagar, Chennai ",5.0,1 review,Price on Request,200-300,40,+3 more
DG Hall,"Banquet Halls, Small Function / Party Halls","Ambattur, Chennai ",5.0,1 review,₹300per plate,100-250,,+2 more
The Elite Grand,"4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,,1 review,₹950per plate,500-1000,178,+3 more
Olive Orchard Halls,Banquet Halls,"Kodambakkam, Chennai ",5.0,2 reviews,Price on Request,200-300,,+2 more
Irish Suites,"Banquet Halls, 3 Star Hotels with Banquets","T Nagar, Chennai ",,,₹650per plate,100-150,30,+3 more
Sri Rama Kalyana Mandapam,"Banquet Halls, Kalyana Mandapams","T Nagar, Chennai ",4.5,2 reviews,₹200per plate,600-800,,+3 more
Regenta SG’S GreenOtel,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,,4 reviews,Price on Request,120-600,80,+3 more
Hotel Aurora Towers,"Banquet Halls, Marriage Garden / Lawns","Camp, Pune ",5.0,1 review,Price on Request,270-400,88,+3 more
"Ramee Grand Hotel and Spa, Pune",Banquet Halls,Pune ,4.5,4 reviews,₹800per plate,800-900,88,+3 more
Tim Luck Luck,Banquet Halls,"Camp, Pune ",5.0,1 review,₹400per plate,120-200,,+2 more
Viola Beacon Resort,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,Price on Request,500-700,40,+3 more
Courtyard Marriott Pune Chakan,"Banquet Halls, Marriage Garden / Lawns","Pimpri Chinchwad, Pune ",5.0,3 reviews,"₹1,444per plate",300-500,175,+3 more
"10th Mile, Manjri","Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,2 reviews,₹750per plate,100-500,1,+3 more
Daulat Lawns,"Banquet Halls, Marriage Garden / Lawns","Bavdhan, Pune ",5.0,1 review,₹400per plate,600-3000,,+2 more
Eastin Easy Aishwarya Talegaon,"Banquet Halls, Marriage Garden / Lawns",Pune ,,4 reviews,₹750per plate,250-600,90,+3 more
Raga Lawns,"Marriage Garden / Lawns, Wedding Farmhouses","Koregaon Park, Pune ",4.5,8 reviews,"₹2,80,000per function",550-550,2,+4 more
Swaraj Palace,Marriage Garden / Lawns,"Hadapsar, Pune ",5.0,2 reviews,₹200per plate,2300-4500,,+2 more
Mahasainik Lawn,"Marriage Garden / Lawns, Wedding Farmhouses","Camp, Pune ",4.7,3 reviews,₹550per plate,200-800,2,+4 more
Cloud 99,Banquet Halls,Pune ,,,₹529per plate,300-450,2,+3 more
Iris Lawns & Banquets by Ruturang,"Banquet Halls, Marriage Garden / Lawns",Pune ,4.7,3 reviews,₹350per plate,400-900,2,+4 more
Sanctuary Banquets,"Banquet Halls, Venues With Rooms",Pune ,5.0,1 review,₹750per plate,350-500,2,+3 more
Le Parc Thergaon,Banquet Halls,Pune ,,,₹650per plate,200-300,2,+3 more
"Elysium Banquets, Shivajinagar",Banquet Halls,"Shivajinagar, Pune ",,,₹500per plate,100-300,,+2 more
"China Grill Banquets, Viman Nagar",Banquet Halls,"Viman Nagar, Pune ",,1 review,₹600per plate,150-350,,+2 more
"Babar Banquet Hall, Kondhwa","Banquet Halls, Marriage Garden / Lawns","Kondhwa, Pune ",,2 reviews,₹400per plate,1000-1500,,+2 more
Wilder West,Small Function / Party Halls,"Kothrud, Pune ",,,Price on Request,80-100,,+2 more
Pearl Garden,Marriage Garden / Lawns,"Faizabad Road, Lucknow ",,,Price on Request,1450-2000,,+2 more
Prakriti Banquet Hall,Banquet Halls,Lucknow ,,,₹350per plate,120-150,,+2 more
Sanskrit Celebrations,"Banquet Halls, Marriage Garden / Lawns","Gomti Nagar, Lucknow ",,,"₹1,000per plate",60-100,20,+3 more
Mahaur Vatika,"Banquet Halls, Marriage Garden / Lawns","Faizabad Road, Lucknow ",,,Price on Request,300-600,,+2 more
Bakshi Palace,"Banquet Halls, Convention / Function Halls",Lucknow ,5.0,1 review,"₹65,000per function",400-600,,+3 more
Classic Banquets - Kunti Kanhaiya Kuteer,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,₹999per plate,250-300,30,+3 more
Aryan Guest House,"Banquet Halls, Marriage Garden / Lawns","Alambagh, Lucknow ",4.5,2 reviews,₹600per plate,120-300,,+2 more
Marino Water Park & Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Lucknow ,5.0,1 review,Price on Request,600-1000,12,+3 more
Parijat Guest House,"Banquet Halls, Small Function / Party Halls","Indira Nagar, Lucknow ",,,₹950per plate,100-400,12,+3 more
The Blue Park Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Lucknow ,,,₹750per plate,350-600,15,+3 more
Four-N Lawn,Marriage Garden / Lawns,"Gomti Nagar, Lucknow ",,,₹300per plate,600-1000,,+2 more
Hotel Royal Presidency Inn,"3 Star Hotels with Banquets, Venues With Rooms",Lucknow ,,,₹499per plate,20-40,16,+3 more
New Saubhagya Lawn,Marriage Garden / Lawns,"Triveni Nagar, Lucknow ",,,₹700per plate,450-700,,+2 more
Prithvi Marriage Lawn,Marriage Garden / Lawns,Lucknow ,,,Price on Request,300-500,,+2 more
Levana Marriage Lawn,Marriage Garden / Lawns,Lucknow ,,,Price on Request,300-500,,+2 more
Raghwendra Marriage Hall,"Banquet Halls, Convention / Function Halls",Lucknow ,,,₹300per plate,600-1000,,+2 more
Ram Bhawan,Banquet Halls,"Jankipuram, Lucknow ",,,Rental Only,140-250,,+2 more
Hamirwasiya Marriage Hall,Banquet Halls,Lucknow ,,,Price on Request,250-450,,+2 more
Hotel Maharaja Delight Lawn,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,Price on Request,100-400,15,+3 more
Best Western Sagar Sona,"Banquet Halls, 3 Star Hotels with Banquets","Gomti Nagar, Lucknow ",,,Price on Request,180-300,95,+3 more
The Lodge B&B,Small Function / Party Halls,Jaipur ,5.0,9 reviews,₹700per plate,70-110,,+2 more
V Sarovar Portico MI Road Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Sindhi Camp, Jaipur ",5.0,1 review,"₹1,500per plate",,,+2 more
Country Inn & Suites,Banquet Halls,"Bani Park, Jaipur ",,1 review,₹950per plate,750-750,,+2 more
Joypur Bansi Resort,Marriage Garden / Lawns,"Sitapura, Jaipur ",,4 reviews,₹600per plate,1750-2500,,+2 more
Achrol Bagh,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,1 review,"₹1,800per plate",60-200,75,+4 more
Riders Resort,"Banquet Halls, Marriage Garden / Lawns","Sanganer, Jaipur ",5.0,9 reviews,₹450per plate,40-200,20,+3 more
Fort - Kitchen and Banquet,Banquet Halls,"Sanganer, Jaipur ",5.0,1 review,"₹1,300per plate",200-300,,+2 more
Yanela - The Connaught House Jaipur,"Banquet Halls, Venues With Rooms",Jaipur ,,,₹850per plate,150-200,8,+3 more
Heritage Khandwa Haveli,"Banquet Halls, Marriage Garden / Lawns","Sikar Road, Jaipur ",5.0,1 review,"₹1,000per plate",120-350,8,+3 more
Shree Rooplaxmi Castles Hotel And Garden,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Niwaru Road, Jaipur ",,,"₹9,00,000per function",300-2500,43,+4 more
Shubh Arambh Garden & Banquet Hall,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,2 reviews,Price on Request,300-600,,+2 more
Hotel Royal Bagh - Opposite City Park Jaipur,"Banquet Halls, Marriage Garden / Lawns","Mansarovar, Jaipur ",,,"₹1,000per plate",150-250,25,+3 more
Ashok Paradise,"Banquet Halls, Marriage Garden / Lawns","Jhotwara, Jaipur ",,,₹500per plate,500-1200,2,+3 more
Heaven's Garden,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,1 review,"₹1,300per plate",,,+2 more
Rosado Luxury Lounge,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,2 reviews,"₹1,099per plate",300-550,15,+4 more
Hans Paradise,"Banquet Halls, Marriage Garden / Lawns","Sikar Road, Jaipur ",5.0,1 review,₹550per plate,150-1500,,+2 more
Shahi Bagh,Marriage Garden / Lawns,Jaipur ,5.0,1 review,Price on Request,350-550,,+2 more
Aāngan,Marriage Garden / Lawns,"JLN Marg, Jaipur ",4.8,2 reviews,₹750per plate,100-150,,+2 more
Laxmi Palace,"Banquet Halls, Forts / Palaces For Wedding",Jaipur ,4.9,14 reviews,"₹1,700per plate",,,+1 more
Radha Krishna Marriage Garden,"Banquet Halls, Marriage Garden / Lawns","Mansarovar, Jaipur ",5.0,1 review,"₹60,000per function",350-800,,+3 more
Orana Conventions,"Banquet Halls, Marriage Garden / Lawns","Badshahpur, Delhi NCR ",,7 reviews,Price on Request,250-1500,,+2 more
The LaLiT New Delhi,"4 Star & Above Wedding Hotels, Banquet Halls","New Delhi, Delhi NCR ",,22 reviews,"₹3,200per plate",,,+2 more
Panchshila Rendezvous,"Banquet Halls, Convention / Function Halls","Malviya Nagar, Delhi NCR ",4.8,15 reviews,Price on Request,,,+1 more
The Hari Castle,"Banquet Halls, Marriage Garden / Lawns","Sonipat, Delhi NCR ",5.0,1 review,"₹1,000per plate",1750-2000,2,+4 more
Badhai Banquet by Om Sweets,Banquet Halls,"Sector 105, Delhi NCR ",5.0,3 reviews,Price on Request,100-150,,+3 more
SK Kumar Palace Banquet,"Banquet Halls, Convention / Function Halls","Patparganj, Delhi NCR ",5.0,2 reviews,"₹1,200per plate",350-700,,+2 more
OYO Townhouse 012 Kaushambi Metro Ghaziabad,"Banquet Halls, 3 Star Hotels with Banquets","Kaushambi, Delhi NCR ",5.0,1 review,₹459per plate,150-200,30,+3 more
Vaabi Saabi Hotel,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,5 reviews,₹800per plate,200-350,32,+3 more
Hotel Haris MG Road Gurugram,"Banquet Halls, 3 Star Hotels with Banquets","Sector 25, Delhi NCR ",4.7,3 reviews,"₹1,000per plate",100-150,43,+3 more
Moti Mahal Delux,"Small Function / Party Halls, Small Function / Party Halls","East Delhi, Delhi NCR ",5.0,2 reviews,₹650per plate,60-90,,+2 more
"Ambassador, New Delhi - IHCL SeleQtions","4 Star & Above Wedding Hotels, Destination Wedding Venues","New Delhi, Delhi NCR ",4.5,1 review,"₹2,200per plate",25-450,88,+3 more
GRT Residency And Banquet,"3 Star Hotels with Banquets, Small Function / Party Halls","Sector 105, Delhi NCR ",5.0,2 reviews,Price on Request,50-70,12,+3 more
 Andaz Delhi by Hyatt,"4 Star & Above Wedding Hotels, Banquet Halls","Aerocity, Delhi NCR ",4.6,7 reviews,"₹4,500per plate",100-1200,401,+3 more
Jannat Valley Surajkund,Marriage Garden / Lawns,"Faridabad, Delhi NCR ",,5 reviews,"₹1,400per plate",1400-1500,,+2 more
Emerald Greens,"Banquet Halls, Venues With Rooms",Delhi NCR ,5.0,2 reviews,"₹2,200per plate",700-1000,2,+3 more
Westend Inn,"Banquet Halls, Marriage Garden / Lawns","NH8, Delhi NCR ",,18 reviews,"₹2,200per plate",50-700,115,+4 more
Throttle Shrottle,"Party Restaurants / Lounge Bars, Small Function / Party Halls","Sector 55, Delhi NCR ",5.0,1 review,₹550per plate,50-80,,+2 more
The Habitat Club,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,4.5,1 review,"₹1,000per plate",150-800,,+2 more
Yidam,"Banquet Halls, Convention / Function Halls","Bandhwari, Delhi NCR ",4.9,21 reviews,"₹2,800per plate",100-1000,125,+3 more
The Crystal Palace,"Banquet Halls, 3 Star Hotels with Banquets","Rohini, Delhi NCR ",5.0,3 reviews,₹849per plate,420-700,22,+3 more
TGP Kalyana Mandapam,"Banquet Halls, Venues With Rooms","Tambaram, Chennai ",,1 review,₹300per plate,400-600,8,+3 more
Ramada Chennai Egmore,Banquet Halls,Chennai ,,1 review,₹800per plate,800-1000,,+2 more
ALM Marriage Hall,Banquet Halls,Chennai ,,,Price on Request,300-350,2,+3 more
Hotel Chandra's Inn,"Banquet Halls, 3 Star Hotels with Banquets","KK Nagar, Chennai ",5.0,2 reviews,Price on Request,150-200,15,+3 more
JKSP Mini Hall,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,,,₹600per plate,180-300,25,+3 more
Angel Marriage Hall,Banquet Halls,"Kodungaiyur, Chennai ",,,₹350per plate,240-400,,+2 more
OS Mahal,"Banquet Halls, Venues With Rooms",Chennai ,,,₹300per plate,420-700,4,+3 more
Sri Sanjeevi Mini Hall,"Banquet Halls, Venues With Rooms",Chennai ,5.0,1 review,Price on Request,230-400,5,+3 more
VKC Cultural Centre,"Banquet Halls, Kalyana Mandapams","West Mambalam, Chennai ",,1 review,₹250per plate,250-400,,+2 more
J.M.A Hall,Banquet Halls,Chennai ,,,₹400per plate,500-750,2,+3 more
Atlantis,Banquet Halls,"Anna Nagar, Chennai ",,,₹250per plate,350-500,,+2 more
The Soorya Residency (Formerly as Pratap Plaza),"Banquet Halls, 3 Star Hotels with Banquets","Kodambakkam, Chennai ",4.5,1 review,₹500per plate,150-250,30,+3 more
The Venue in Valasaravakkam,"Banquet Halls, Small Function / Party Halls",Chennai ,,,Price on Request,80-150,,+3 more
Madras Halai Memon Association Community Centre,Banquet Halls,Chennai ,,,"₹92,000per function",400-550,2,+4 more
The Black Pearl,"Party Restaurants / Lounge Bars, Small Function / Party Halls","Sholinganallur, Chennai ",,,₹90per plate,50-75,,+2 more
AV Party Hall,Banquet Halls,"Thirumullaivoyal, Chennai ",5.0,1 review,₹300per plate,,,+1 more
JK Mahal & Palace,Banquet Halls,Chennai ,5.0,1 review,₹300per plate,300-450,,+2 more
Betel Leaf Party Hall,Small Function / Party Halls,"Kodambakkam, Chennai ",5.0,1 review,₹450per plate,100-150,,+2 more
The Ramachandra Convention Center,Banquet Halls,"Thiruvanmiyur, Chennai ",5.0,1 review,₹400per plate,,,+2 more
M.K.S Grand Palace,Banquet Halls,Chennai ,5.0,1 review,"₹1,40,000per function",200-600,9,+4 more
Song of Life County Villa Resort,"Banquet Halls, Marriage Garden / Lawns","Kasba Peth, Pune ",,,Price on Request,100-200,7,+3 more
Dudhane Lawns,Marriage Garden / Lawns,"Karve Nagar, Pune ",4.5,1 review,₹220per plate,1000-1500,,+2 more
The Cliff,"Banquet Halls, Marriage Garden / Lawns","Bavdhan, Pune ",,,Price on Request,150-1000,,+2 more
Nanashree Lawns,Marriage Garden / Lawns,"Alandi, Pune ",,,₹400per plate,1400-2000,,+2 more
Hotel TipTop International,"Banquet Halls, 3 Star Hotels with Banquets","Wakad, Pune ",5.0,6 reviews,"₹1,500per plate",2000-2500,200,+3 more
Enrise By Sayaji,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,"₹1,200per plate",50-200,32,+3 more
Aashiyana Hall,"Banquet Halls, Convention / Function Halls","Hadapsar, Pune ",,,₹400per plate,400-600,,+2 more
"Holiday Inn, Hinjewadi","Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,1 review,"₹1,000per plate",1000-1200,,+2 more
Choice Conference Hall,Banquet Halls,"Kothrud, Pune ",,,"₹60,000per function",150-180,,+3 more
Hotel Saudagar,"Banquet Halls, 3 Star Hotels with Banquets","Pimple Saudagar, Pune ",,,₹350per plate,150-220,10,+3 more
Rajlaxmi Garden Mangal Karyalaya,Marriage Garden / Lawns,Pune ,,,₹500per plate,700-1000,,+2 more
Nandalal Lawns,Marriage Garden / Lawns,Pune ,,,Price on Request,300-500,,+2 more
Rhythm Lonavala,"Banquet Halls, Wedding Resorts",Pune ,5.0,8 reviews,"₹1,500per plate",40-800,84,+3 more
SOBA Banquets,"Banquet Halls, Convention / Function Halls","Baner, Pune ",,,Price on Request,300-500,,+2 more
Jijau Mangal Karyalay,"Banquet Halls, Marriage Garden / Lawns","Wanowrie, Pune ",,,₹300per plate,1000-3000,,+2 more
Encore Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Pune ,,,"₹1,500per plate",200-300,13,+3 more
Blue Diamond -IHCL SeleQtions,Banquet Halls,"Koregaon Park, Pune ",,,Price on Request,180-300,,+2 more
Kodre Farm,Marriage Garden / Lawns,Pune ,5.0,1 review,₹450per plate,700-1000,,+2 more
The Greetings,"Banquet Halls, 3 Star Hotels with Banquets",Pune ,,,Price on Request,60-75,26,+3 more
"Hotel Shreyas, Shivajinagar","Banquet Halls, 3 Star Hotels with Banquets","Shivajinagar, Pune ",,2 reviews,₹400per plate,50-400,48,+3 more
MJ Grand,Marriage Garden / Lawns,Lucknow ,,,₹400per plate,600-1000,,+2 more
Krishna Marriage Lawn and Guest House,Marriage Garden / Lawns,Lucknow ,,,₹700per plate,800-1200,,+2 more
Baba Marriage Hall,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,₹500per plate,200-500,,+2 more
Hotel Avasa Inn,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,Price on Request,80-150,16,+3 more
Saubhagya Marriage Hall,"Banquet Halls, Marriage Garden / Lawns","Alambagh, Lucknow ",,,₹450per plate,300-600,,+3 more
Hotel Mahendra Plaza,"Banquet Halls, Venues With Rooms",Lucknow ,,,Price on Request,250-400,15,+3 more
The City Club Lucknow,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,₹900per plate,100-500,1,+4 more
Lucknow Lawn,Marriage Garden / Lawns,Lucknow ,,,₹300per plate,800-1000,,+2 more
Al Kabeer Lawn,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,₹890per plate,350-1300,,+2 more
Hardik Guest House,"Banquet Halls, 3 Star Hotels with Banquets","Hazratganj, Lucknow ",,,Price on Request,100-120,10,+3 more
Colonel Farm,"Marriage Garden / Lawns, Wedding Farmhouses",Lucknow ,,,₹700per plate,150-200,4,+3 more
The Palms Golf Club & Resort,Marriage Garden / Lawns,Lucknow ,,,Price on Request,1500-2000,,+2 more
Aarambh Lawns,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,Price on Request,250-5000,,+2 more
PJais Fine Dine Restro,Small Function / Party Halls,"Indira Nagar, Lucknow ",,,₹650per plate,90-150,,+2 more
Tayyab Hall,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,"₹45,000per function",350-500,,+2 more
Sapna Clarks Inn,"Banquet Halls, Marriage Garden / Lawns","Vikas Nagar, Lucknow ",5.0,2 reviews,"₹2,400per plate",200-300,32,+3 more
Mandap Mahal Guest House,Marriage Garden / Lawns,Lucknow ,,,₹500per plate,650-1000,,+2 more
The Ecstasy,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,"₹1,000per plate",500-700,21,+3 more
Vardaan Lawn,Marriage Garden / Lawns,"Gomti Nagar, Lucknow ",,,Price on Request,600-1000,,+2 more
Shahnai Palace Marriage Hall,"Banquet Halls, Convention / Function Halls",Lucknow ,,,"₹35,000per function",400-700,2,+4 more
Shree Van,"Banquet Halls, Marriage Garden / Lawns","Khatipura, Jaipur ",4.5,1 review,₹800per plate,,,
JJ Valley Hotel,"Banquet Halls, Marriage Garden / Lawns","Mansarovar, Jaipur ",5.0,3 reviews,"₹3,69,000per function",80-1500,26,+4 more
Rani Bagh Resort,"Banquet Halls, Marriage Garden / Lawns","Kukas, Jaipur ",5.0,1 review,"₹1,00,000per function",50-1500,,+3 more
Hotel Royal Celebration Inn,"Banquet Halls, Marriage Garden / Lawns","Bhankrota, Jaipur ",5.0,1 review,₹500per plate,1000-1500,27,+2 more
Om Niwas Suite Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Bani Park, Jaipur ",5.0,1 review,₹175per plate,70-120,27,+3 more
Wild Ridge Sariska Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Jaipur ,,,"₹80,000per function",900-1000,14,+4 more
The Gulmohar,"Banquet Halls, Convention / Function Halls","Kukas, Jaipur ",5.0,2 reviews,"₹8,00,000per function",,,+2 more
Hotel Jaipur Ashok,"Banquet Halls, Marriage Garden / Lawns","Bani Park, Jaipur ",4.5,2 reviews,"₹1,000per plate",600-1000,97,+2 more
Elaaka Resort & Spa,"Banquet Halls, Marriage Garden / Lawns","Kanakpura, Jaipur ",,,Price on Request,300-500,10,+3 more
"Ramgarh Lodge, Jaipur - IHCL SeleQtions","Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,1 review,Price on Request,30-150,15,+3 more
"V One Pride, a unit of V One Hotels Pvt Ltd","Banquet Halls, Marriage Garden / Lawns","Nirman Nagar, Jaipur ",5.0,1 review,₹400per plate,300-800,28,+3 more
Mor Banquet And Resort,"Banquet Halls, Marriage Garden / Lawns","Sitapura, Jaipur ",,1 review,₹600per plate,1320-2000,,+1 more
Hotel Royal Ocean Prime,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,₹600per plate,100-750,32,+4 more
Villa Anoushka,"Banquet Halls, Marriage Garden / Lawns","Sanganer, Jaipur ",,,"₹1,600per plate",250-1000,35,+3 more
Green Palms Wedding Resorts,"Banquet Halls, Marriage Garden / Lawns","Amer, Jaipur ",4.8,2 reviews,₹600per plate,200-3000,38,+3 more
Hotel Amar Palace,"Banquet Halls, Marriage Garden / Lawns","Vaishali Nagar, Jaipur ",5.0,1 review,₹750per plate,320-700,35,+3 more
The Park Classic,"Banquet Halls, 3 Star Hotels with Banquets","Gopalpura, Jaipur ",,,₹450per plate,10-200,50,+3 more
Castle Mandawa,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,3 reviews,"₹1,500per plate",60-800,80,+3 more
Foxtrot Farmhouse,"Marriage Garden / Lawns, Small Function / Party Halls",Jaipur ,,,Price on Request,30-50,10,+4 more
Radhika Palace,Marriage Garden / Lawns,"Muhana Mandi Road, Jaipur ",5.0,1 review,"₹1,75,000per function",,,+2 more
ibis New Delhi Aerocity,"4 Star & Above Wedding Hotels, Banquet Halls","Aerocity, Delhi NCR ",5.0,1 review,"₹2,500per plate",30-250,445,+3 more
EVORA - Banquet & Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Lawrence Road, Delhi NCR ",5.0,1 review,"₹1,000per plate",70-500,15,+3 more
Moets Residency,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Leisure Valley Sector 29, Delhi NCR ",5.0,1 review,₹900per plate,500-700,34,+3 more
Wedding Villa,"Banquet Halls, Small Function / Party Halls","Noida, Delhi NCR ",4.7,19 reviews,"₹3,000per plate",50-1200,15,+3 more
Delhi Gymkhana Club,"Banquet Halls, Marriage Garden / Lawns","New Delhi, Delhi NCR ",5.0,4 reviews,"₹1,800per plate",200-600,43,+5 more
Regal Garden,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,4 reviews,"₹1,000per plate",500-700,1,+4 more
Delight Garden,"Banquet Halls, Marriage Garden / Lawns","Sector 15, Delhi NCR ",5.0,1 review,₹600per plate,100-450,,+3 more
Vardaan by Sandoz,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,8 reviews,"₹2,000per plate",110-550,,+3 more
The Roseate,"4 Star & Above Wedding Hotels, 3 Star Hotels with Banquets","Aerocity, Delhi NCR ",,21 reviews,"₹3,000per plate",,,+3 more
Hotel Picasso Prive,"3 Star Hotels with Banquets, Small Function / Party Halls","Naraina, Delhi NCR ",5.0,2 reviews,₹900per plate,60-120,21,+3 more
Vasundhara Farms,"Banquet Halls, Marriage Garden / Lawns","Vasundhara, Delhi NCR ",5.0,1 review,₹900per plate,150-450,,+2 more
7 Star Banquet Hall,"Banquet Halls, Convention / Function Halls","Najafgarh Road, Delhi NCR ",5.0,1 review,₹650per plate,650-800,,+2 more
Le Meridien Gurgaon,"4 Star & Above Wedding Hotels, Banquet Halls","Sector 26, Delhi NCR ",4.7,21 reviews,"₹4,500per plate",80-3000,285,+4 more
La Mansion Banquets,"Banquet Halls, Convention / Function Halls","Wazirpur, Delhi NCR ",4.5,18 reviews,"₹1,800per plate",150-550,,+1 more
S.Courtyard,"Banquet Halls, Party Restaurants / Lounge Bars",Delhi NCR ,4.9,18 reviews,"₹2,000per plate",1000-1200,4,+6 more
Seven Seas Banquet and Lawn - Lawrence road,"Banquet Halls, Marriage Garden / Lawns","Lawrence Road, Delhi NCR ",4.6,18 reviews,"₹1,750per plate",100-2500,,+2 more
