Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
the bundigarh resort,"banquet halls, marriage garden / lawns",5.0,29,1000.0,21,200,500,lucknow,5
ornate lucknow,"banquet halls, marriage garden / lawns",5.0,26,2375.0,50,50,2000,lucknow,4
divyansh palace,"banquet halls, marriage garden / lawns",4.6,27,600.0,7,200,700,lucknow,6
zaarang inn hotel & banquet,"banquet halls, marriage garden / lawns",4.8,27,900.0,50,50,1200,lucknow,7
prithvi resort,"banquet halls, marriage garden / lawns",4.9,13,800.0,75,30,700,lucknow,5
jashn resort,"banquet halls, marriage garden / lawns",5.0,19,1399.0,35,30,2000,lucknow,4
mb garden & resorts,"banquet halls, marriage garden / lawns",5.0,119,700.0,26,500,1800,lucknow,7
"marriott renaissance, lucknow","4 star & above wedding hotels, banquet halls",4.5,7,3400.0,111,35,800,lucknow,3
kingship by kahlon,"banquet halls, marriage garden / lawns",5.0,10,1200.0,35,80,400,lucknow,4
hotel ashiyana residency,"banquet halls, 3 star hotels with banquets",5.0,15,800.0,32,50,1700,lucknow,5
hotel emperio grand & banquet hall,"banquet halls, 3 star hotels with banquets",5.0,12,900.0,18,100,250,lucknow,4
shyama sarovar portico,"banquet halls, marriage garden / lawns",5.0,3,1600.0,72,20,1600,lucknow,4
royal greens banquet and lawn,"banquet halls, marriage garden / lawns",5.0,8,1100.0,4,50,1000,lucknow,4
the trade international,"banquet halls, marriage garden / lawns",5.0,6,1850.0,59,30,2500,jaipur,3
four points by sheraton,"4 star & above wedding hotels, banquet halls",4.5,1,1400.0,114,40,200,jaipur,3
"taj devi ratn resort & spa, jaipur","4 star & above wedding hotels, banquet halls",5.0,5,4500.0,145,50,800,jaipur,4
jaibagh palace,"4 star & above wedding hotels, banquet halls",4.8,12,3000000.0,143,150,1500,jaipur,5
kk royal hotel & convention centre,"4 star & above wedding hotels, banquet halls",5.0,7,2500.0,111,150,1000,jaipur,5
ramada by wyndham jaipur,"4 star & above wedding hotels, banquet halls",4.8,6,1700.0,160,400,600,jaipur,4
"rajasthali resort and spa, jaipur","4 star & above wedding hotels, banquet halls",5.0,16,3500.0,110,250,1400,jaipur,4
pride amber vilas resort & convention centre,"4 star & above wedding hotels, banquet halls",4.9,13,1900.0,95,25,1100,jaipur,5
"taj amer, jaipur","4 star & above wedding hotels, banquet halls",5.0,2,5000.0,245,400,1000,jaipur,3
the vijayran palace by royal quest resorts,"4 star & above wedding hotels, banquet halls",5.0,17,2400.0,52,100,1500,jaipur,4
club mahindra resort - jaipur - rajasthan,"4 star & above wedding hotels, banquet halls",5.0,1,1300.0,72,50,200,jaipur,4
chomu palace hotel,"4 star & above wedding hotels, banquet halls",4.7,8,3500.0,100,50,1000,jaipur,4
the kurki heritage by elite,"banquet halls, marriage garden / lawns",4.7,14,1400.0,34,50,650,jaipur,4
the leela palace jaipur,"4 star & above wedding hotels, banquet halls",4.7,12,7000.0,200,40,1500,jaipur,3
the raj palace by small luxury hotels of the world,"4 star & above wedding hotels, banquet halls",5.0,15,3800.0,60,80,1200,jaipur,3
grassfield valley resort,"4 star & above wedding hotels, banquet halls",4.8,6,1800.0,150,80,1800,jaipur,4
samode palace,"4 star & above wedding hotels, banquet halls",4.6,14,4500.0,43,48,700,jaipur,3
hotel clarks amer,"4 star & above wedding hotels, banquet halls",4.6,20,2100.0,215,10,700,jaipur,4
talaibagh palace,"4 star & above wedding hotels, banquet halls",5.0,1,1250.0,37,60,1000,jaipur,5
stardom resort jaipur,"4 star & above wedding hotels, banquet halls",5.0,3,2000.0,21,200,500,jaipur,3
sasa green,"marriage garden / lawns, 3 star hotels with banquets",5.0,5,1200.0,2,100,1700,ncr,4
chhavi hotels & banquet hall,"banquet halls, marriage garden / lawns",5.0,5,1200.0,139,40,300,ncr,4
the royal casa,"banquet halls, marriage garden / lawns",5.0,3,1500.0,3,300,2000,ncr,3
masaga by qcent,"banquet halls, 3 star hotels with banquets",5.0,10,1199.0,32,100,250,ncr,3
gulmohar farm,"venues with rooms, wedding farmhouses",5.0,6,1550.0,11,25,400,ncr,6
the jewels,"banquet halls, small function / party halls",4.8,10,2200.0,0,375,1500,ncr,3
mora farm,"marriage garden / lawns, party restaurants / lounge bars",5.0,2,2000.0,5,200,600,ncr,4
kanerbaag,"banquet halls, marriage garden / lawns",5.0,1,1199.0,6,400,500,ncr,4
moon cloud banquet,"banquet halls, marriage garden / lawns",5.0,2,1200.0,4,100,900,ncr,3
the event palace,"banquet halls, 3 star hotels with banquets",5.0,5,1000.0,45,50,1200,ncr,4
